file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes
1000,/2021-09-18,PXL_20210918_133032328.jpg,3598292,38.97735,-76.499869,4032,3024,2021:09:18 09:30:32,0231,Google,Pixel 5a,6, ,ok,3,
1001,/2021-09-18,PXL_20210918_135444254.jpg,3668550,38.979142,-76.491314,4032,3024,2021:09:18 09:54:44,0231,Google,Pixel 5a,6, ,dup,2,
1002,/2021-09-18,PXL_20210918_135521369.jpg,3978069,38.979094,-76.491281,4032,3024,2021:09:18 09:55:21,0231,Google,Pixel 5a,1, ,best,5,
1003,/2021-09-18,PXL_20210918_135525872.jpg,4063929,38.979094,-76.491281,4032,3024,2021:09:18 09:55:25,0231,Google,Pixel 5a,6, ,dup,2,
1004,/2021-09-18,PXL_20210918_140205794.jpg,5350761,38.978586,-76.489831,4032,3024,2021:09:18 10:02:05,0231,Google,Pixel 5a,6, ,ok,3,
1005,/2021-09-18,PXL_20210918_140357147.jpg,3869146,38.978325,-76.488636,4032,3024,2021:09:18 10:03:57,0231,Google,Pixel 5a,1, ,dup,2,
1006,/2021-09-18,PXL_20210918_140401686.jpg,4238032,38.978322,-76.488647,4032,3024,2021:09:18 10:04:01,0231,Google,Pixel 5a,6, ,dup,2,
1007,/2021-09-18,PXL_20210918_140417134.jpg,3931237,38.978322,-76.488647,4032,3024,2021:09:18 10:04:17,0231,Google,Pixel 5a,1, ,dup,2,
1008,/2021-09-18,PXL_20210918_140421531.jpg,4138498,38.978322,-76.488647,4032,3024,2021:09:18 10:04:21,0231,Google,Pixel 5a,1, ,dup,2,
1009,/2021-09-18,PXL_20210918_140527274.jpg,3704518,38.978322,-76.488647,4032,3024,2021:09:18 10:05:27,0231,Google,Pixel 5a,6, ,dup,2,
1010,/2021-09-18,PXL_20210918_140528563.jpg,3806745,38.978322,-76.488647,4032,3024,2021:09:18 10:05:28,0231,Google,Pixel 5a,6, ,dup,2,
1011,/2021-09-18,PXL_20210918_140529701.jpg,3551146,38.978322,-76.488647,4032,3024,2021:09:18 10:05:29,0231,Google,Pixel 5a,6, ,dup,2,
