file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim
1024,/2026-01-03,PXL_20260102_205933572.jpg,3822125,-36.876414,174.764472,4080,3072,2026:01:03 09:59:33,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.998,2026-01-03/PXL_20260102_211734764.jpg,F,0.813259
1025,/2026-01-03,PXL_20260102_210320508.PANO.jpg,7103490,-36.876375,174.764483,7808,2752,2026:01:03 10:03:20,0232,Google,Pixel 8 Pro,1, ,ok,3,,4.911,,T,-1
1026,/2026-01-03,PXL_20260102_210355469.jpg,3805858,-36.876464,174.764539,4080,3072,2026:01:03 10:03:55,0232,Google,Pixel 8 Pro,1, ,good,4,,4.516,,F,-1
1027,/2026-01-03,PXL_20260102_210734983.jpg,3705390,-36.877583,174.765175,4080,3072,2026:01:03 10:07:34,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.737,2026-01-03/PXL_20260102_211734764.jpg,F,0.867721
1028,/2026-01-03,PXL_20260102_210758605.jpg,1809494,-36.877583,174.765175,4080,3072,2026:01:03 10:07:58,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.498,2026-01-03/PXL_20260102_211734764.jpg,F,0.860390
1029,/2026-01-03,PXL_20260102_210843984.jpg,3789364,-36.877583,174.765175,4080,3072,2026:01:03 10:08:43,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.845,2026-01-03/PXL_20260102_211734764.jpg,F,0.806218
1030,/2026-01-03,PXL_20260102_210847284.jpg,3232278,-36.877583,174.765175,4080,3072,2026:01:03 10:08:47,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.094,2026-01-03/PXL_20260102_211734764.jpg,F,0.902201
1031,/2026-01-03,PXL_20260102_211016297.jpg,3861662,-36.878061,174.764714,4080,3072,2026:01:03 10:10:16,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.816,2026-01-03/PXL_20260102_211734764.jpg,F,0.830669
1032,/2026-01-03,PXL_20260102_211024020.jpg,3166572,-36.878061,174.764714,4080,3072,2026:01:03 10:10:24,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.002,2026-01-03/PXL_20260102_211734764.jpg,F,0.907269
1033,/2026-01-03,PXL_20260102_211040552.jpg,2993898,-36.878061,174.764714,4080,3072,2026:01:03 10:10:40,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.787,2026-01-03/PXL_20260102_211734764.jpg,F,0.889777
1034,/2026-01-03,PXL_20260102_211112863.jpg,2734988,-36.878061,174.764714,4080,3072,2026:01:03 10:11:12,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.848,2026-01-03/PXL_20260102_211734764.jpg,F,0.884257
