file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target
1022,/2025-04-21_at_sea,PXL_20250421_143010604.jpg,1629335,35.848169,-123.098492,4080,3072,2025:04:21 07:30:10,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.256,2025-04-21_at_sea/PXL_20250421_143221547.jpg,F
1023,/2025-04-21_at_sea,PXL_20250421_143020957.jpg,1440418,35.848169,-123.098492,4080,3072,2025:04:21 07:30:20,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.397,2025-04-21_at_sea/PXL_20250421_143221547.jpg,F
1024,/2025-04-21_at_sea,PXL_20250421_143130584.PANO.jpg,2176264,35.845319,-123.098261,4960,1613,2025:04:21 07:31:34,0,Google,Pixel 8 Pro,0, ,dup,2,,4.694,2025-04-21_at_sea/PXL_20250421_141058303.jpg,F
1025,/2025-04-21_at_sea,PXL_20250421_143221547.jpg,1896675,35.845319,-123.098261,4080,3072,2025:04:21 07:32:21,0232,Google,Pixel 8 Pro,1, ,best,5,,5.665,,T
1026,/2025-04-21_at_sea,PXL_20250421_143249472.jpg,1892145,35.841481,-123.097956,4080,3072,2025:04:21 07:32:49,0232,Google,Pixel 8 Pro,1, ,dup,2,,5.482,2025-04-21_at_sea/PXL_20250421_143221547.jpg,F
1027,/2025-04-21_at_sea,PXL_20250421_172851532.jpg,2411332,37.791111,-122.391956,3072,4080,2025:04:21 10:28:51,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.067,2025-04-21_at_sea/PXL_20250421_172915711.jpg,F
1028,/2025-04-21_at_sea,PXL_20250421_172858720.jpg,2180427,37.791111,-122.391956,3072,4080,2025:04:21 10:28:58,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.264,2025-04-21_at_sea/PXL_20250421_172915711.jpg,F
1029,/2025-04-21_at_sea,PXL_20250421_172910018.jpg,2190852,37.791111,-122.391956,4080,3072,2025:04:21 10:29:10,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.157,2025-04-21_at_sea/PXL_20250421_172915711.jpg,F
1030,/2025-04-21_at_sea,PXL_20250421_172915711.jpg,2186056,37.791111,-122.391956,4080,3072,2025:04:21 10:29:15,0232,Google,Pixel 8 Pro,1, ,good,4,,4.405,,T
1031,/2025-04-21_at_sea,PXL_20250421_172921118.jpg,2255384,37.791111,-122.391956,4080,3072,2025:04:21 10:29:21,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.273,2025-04-21_at_sea/PXL_20250421_172915711.jpg,F
