file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim
1023,/2025-11-27_bgc,PXL_20251127_054809077.jpg,2989455,14.556556,121.054131,3072,4080,2025:11:27 13:48:09,232,Google,Pixel 8 Pro,1, ,dup,2,,4.274,2025-11-27_bgc/PXL_20251127_054850689.jpg,F,0.943085
1024,/2025-11-27_bgc,PXL_20251127_054824630.jpg,2706894,14.556556,121.054131,3648,2736,2025:11:27 13:48:24,232,Google,Pixel 8 Pro,1, ,dup,2,,4.104,2025-11-27_bgc/PXL_20251127_054850689.jpg,F,0.840018
1025,/2025-11-27_bgc,PXL_20251127_054828236.jpg,2648481,14.556556,121.054131,3648,2736,2025:11:27 13:48:28,232,Google,Pixel 8 Pro,1, ,dup,2,,4.239,2025-11-27_bgc/PXL_20251127_054850689.jpg,F,0.817019
1026,/2025-11-27_bgc,PXL_20251127_054844207.jpg,3064459,14.556556,121.054131,3072,4080,2025:11:27 13:48:44,232,Google,Pixel 8 Pro,1, ,dup,2,,4.222,2025-11-27_bgc/PXL_20251127_054850689.jpg,F,0.980778
1027,/2025-11-27_bgc,PXL_20251127_054847468.jpg,3091273,14.556556,121.054131,3072,4080,2025:11:27 13:48:47,232,Google,Pixel 8 Pro,1, ,dup,2,,4.171,2025-11-27_bgc/PXL_20251127_054850689.jpg,F,0.986126
1028,/2025-11-27_bgc,PXL_20251127_054850689.jpg,3161416,14.556556,121.054131,3072,4080,2025:11:27 13:48:50,232,Google,Pixel 8 Pro,1, ,good,4,,4.516,,T,-1
1029,/2025-11-27_bgc,PXL_20251127_060026821.jpg,3879930,14.556544,121.054269,4080,3072,2025:11:27 14:00:26,232,Google,Pixel 8 Pro,1, ,best,5,,4.784,,T,-1
1030,/2025-11-27_bgc,PXL_20251127_060042773.jpg,3562004,14.556544,121.054269,4080,3072,2025:11:27 14:00:42,232,Google,Pixel 8 Pro,1, ,dup,2,,4.543,2025-11-27_bgc/PXL_20251127_060026821.jpg,F,0.892548
1031,/2025-11-27_bgc,PXL_20251127_060055793.jpg,3445856,14.556544,121.054269,3072,4080,2025:11:27 14:00:55,232,Google,Pixel 8 Pro,1, ,dup,2,,4.478,2025-11-27_bgc/PXL_20251127_060026821.jpg,F,0.845631
1032,/2025-11-27_bgc,PXL_20251127_061103483.jpg,3862445,14.556231,121.054411,4080,3072,2025:11:27 14:11:03,232,Google,Pixel 8 Pro,1, ,reject,0,,4.360,,F,-1
1033,/2025-11-27_bgc,PXL_20251127_061114350.jpg,3463061,14.556231,121.054411,4080,3072,2025:11:27 14:11:14,232,Google,Pixel 8 Pro,1, ,good,4,,4.558,,F,-1
1034,/2025-11-27_bgc,PXL_20251127_065451942.jpg,2217146,14.558831,121.053664,3072,4080,2025:11:27 14:54:51,232,Google,Pixel 8 Pro,1, ,reject,0,,4.511,,F,-1
1035,/2025-11-27_bgc,PXL_20251127_065636543~2.jpg,2526667,14.558778,121.053653,3072,4080,2025:11:27 14:56:36,232,Google,Pixel 8 Pro,1, ,reject,0,,4.685,,T,-1
1036,/2025-11-27_bgc,PXL_20251127_065636543.jpg,3032793,14.558778,121.053653,4080,3072,2025:11:27 14:56:36,232,Google,Pixel 8 Pro,1, ,dup,2,,4.436,2025-11-27_bgc/PXL_20251127_065636543~2.jpg,F,0.846398
1037,/2025-11-28,PXL_20251128_041314855.jpg,3386683,14.559225,121.054178,3648,2736,2025:11:28 12:13:14,232,Google,Pixel 8 Pro,1, ,ok,3,,4.366,,F,-1
1038,/2025-11-28,PXL_20251128_043459365.jpg,4078831,14.56435,121.0295,4080,3072,2025:11:28 12:34:59,232,Google,Pixel 8 Pro,1, ,bad,1,,3.991,,F,-1
1039,/2025-11-28,PXL_20251128_052835457.PANO.jpg,2117801,14.600108,120.97445,4438,1639,2025:11:28 13:28:39,0,Google,Pixel 8 Pro,0, ,dup,2,,4.449,2025-11-28/PXL_20251128_052931705.jpg,F,0.800673
1040,/2025-11-28,PXL_20251128_052846718.jpg,3858593,14.600108,120.97445,4080,3072,2025:11:28 13:28:46,232,Google,Pixel 8 Pro,1, ,dup,2,,4.713,2025-11-28/PXL_20251128_064257017.jpg,F,0.841962
1041,/2025-11-28,PXL_20251128_052856747.jpg,2744254,14.600108,120.97445,3072,4080,2025:11:28 13:28:56,232,Google,Pixel 8 Pro,1, ,dup,2,,4.389,2025-11-28/PXL_20251128_064257017.jpg,F,0.846478
1042,/2025-11-28,PXL_20251128_052912309.jpg,2720719,14.600108,120.97445,3072,4080,2025:11:28 13:29:12,232,Google,Pixel 8 Pro,1, ,dup,2,,4.436,2025-11-28/PXL_20251128_052931705.jpg,F,0.829032
1043,/2025-11-28,PXL_20251128_052917767.jpg,2654702,14.600108,120.97445,3072,4080,2025:11:28 13:29:17,232,Google,Pixel 8 Pro,1, ,dup,2,,4.670,2025-11-28/PXL_20251128_064257017.jpg,F,0.836206
1044,/2025-11-28,PXL_20251128_052931705.jpg,2593550,14.600108,120.97445,4080,3072,2025:11:28 13:29:31,232,Google,Pixel 8 Pro,1, ,good,4,,4.627,,T,-1
1045,/2025-11-28,PXL_20251128_052935458.jpg,2670459,14.600108,120.97445,4080,3072,2025:11:28 13:29:35,232,Google,Pixel 8 Pro,1, ,dup,2,,4.512,2025-11-28/PXL_20251128_052931705.jpg,F,0.967560
1046,/2025-11-28,PXL_20251128_052939236.jpg,2630188,14.600108,120.97445,3072,4080,2025:11:28 13:29:39,232,Google,Pixel 8 Pro,1, ,dup,2,,4.475,2025-11-28/PXL_20251128_064257017.jpg,F,0.834446
1047,/2025-11-28,PXL_20251128_053122680.LONG_EXPOSURE-02.ORIGINAL.jpg,4597239,14.599783,120.974736,4080,3072,2025:11:28 13:31:22,232,Google,Pixel 8 Pro,1, ,dup,2,,4.960,2025-11-28/PXL_20251128_053122680.LONG_EXPOSURE-01.COVER.jpg,F,0.908171
1048,/2025-11-28,PXL_20251128_053122680.LONG_EXPOSURE-01.COVER.jpg,2566340,14.599783,120.974736,4080,3072,2025:11:28 13:31:22,232,Google,Pixel 8 Pro,1, ,ok,3,,4.967,,T,-1
1049,/2025-11-28,PXL_20251128_053334694.jpg,3880745,14.599547,120.975394,4080,3072,2025:11:28 13:33:34,232,Google,Pixel 8 Pro,1, ,dup,2,,4.942,2025-11-28/PXL_20251128_053356344.jpg,F,0.931108
1050,/2025-11-28,PXL_20251128_053354229.jpg,2274214,14.599547,120.975394,4080,3072,2025:11:28 13:33:54,232,Google,Pixel 8 Pro,1, ,ok,3,,4.120,,F,-1
1051,/2025-11-28,PXL_20251128_053356344.jpg,3187593,14.599547,120.975394,4080,3072,2025:11:28 13:33:56,232,Google,Pixel 8 Pro,1, ,good,4,,5.105,,T,-1
1052,/2025-11-28,PXL_20251128_053407327.jpg,3513208,14.599547,120.975394,3072,4080,2025:11:28 13:34:07,232,Google,Pixel 8 Pro,1, ,dup,2,,4.972,2025-11-28/PXL_20251128_053356344.jpg,F,0.877501
1053,/2025-11-28,PXL_20251128_053423035.jpg,1792998,14.599544,120.9754,4080,3072,2025:11:28 13:34:23,232,Google,Pixel 8 Pro,1, ,ok,3,,4.599,,F,-1
1054,/2025-11-28,PXL_20251128_054847682.jpg,3840745,14.600492,120.975375,3072,4080,2025:11:28 13:48:47,232,Google,Pixel 8 Pro,1, ,dup,2,,4.483,2025-11-28/PXL_20251128_055651277.jpg,F,0.816467
1055,/2025-11-28,PXL_20251128_054949708.jpg,2947190,14.600114,120.975161,3072,4080,2025:11:28 13:49:49,232,Google,Pixel 8 Pro,1, ,bad,1,,3.915,,F,-1
1056,/2025-11-28,PXL_20251128_054952575.jpg,3072605,14.600114,120.975161,3072,4080,2025:11:28 13:49:52,232,Google,Pixel 8 Pro,1, ,ok,3,,4.067,,F,-1
