col_name,col_type,default,load_func,exif_tags,notes
file_id,int,0,get_key,sys.next_id,system generated sequential number
file_location,str,na,get_key,sys.subdir,
file_name,str,na,get_key,sys.file_name,
file_size,int,0,get_key,sys.file_size,
img_lat,float,0,get_lat_lon,"[""GPS GPSLatitude"",""GPS GPSLatitudeRef""]",
img_lon,float,0,get_lat_lon,"[""GPS GPSLongitude"",""GPS GPSLongitudeRef""]",
img_width,int,0,get_key,"[""Image ImageWidth"",""EXIF ExifImageWidth""]",
img_len,int,0,get_key,"[""Image ImageLength"",""EXIF ExifImageLength""]",
img_date_time,str,1969:12:31 16:00:00,get_key,"[""EXIF DateTimeOriginal"",""Image DateTime"",""GPS GPSDate""]",
img_exif_ver,int,0,get_key,EXIF ExifVersion,
img_make,str,na,get_key,Image Make,
img_model,str,na,get_key,Image Model,
img_rotate,any,0,get_key_value,Image Orientation,
img_tags,str, ,,,filled in later - array of tags
img_status,str,tbd,,,"review status - review status - tbd,reject,bad,dup,ok,good,best. Reject will have a level of 0, bad a level of 1, dup a level of 2, ok a level of 3, good a level of 4. and best a level of 5. tbd can have a level of 0 - 4, but never 5, since at 5 the status must be best."
rvw_lvl,int,0,,,review level - incremented for each review cycle
notes,str,,,,"notes about image, such as any special reason it's being kept"
musiq_score,float,,,,optional 1-9.999 rating as generated by MUSIQ with AVA model
dup_photo,str,,,,"optional - name of photo which this photo is a duplicate of"
dup_target,str,F,,,'T' if this photo is the target of another photos dup_photo value
cosine_sim,str,,,,cosine similarity to dup keeper when duplicate; -1 when not; blank if unknown
img_caption,str,,,,"optional blog caption for image"
img_intro_paragraph,str,,,,"optional blog intro paragraph for image"
img_album_uri,str,,,,optional blog album uri for image
img_ext_descr,str,,,,"optional extended blog description for image"
